description,agent_name,amount,urgency,intent_label
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,912461.17,LOW,LIQUIDITY_REBALANCE
Legal notice issuance fee for delinquent enterprise account #6267,Collections Agent,62475.55,MEDIUM,DEBT_COLLECTION
Payment of hardware maintenance contract for warehouse 2695,Payout Agent,658225.11,HIGH,SUPPLIER_SETTLEMENT
Disbursement for logistics partner freight clearing,Payout Agent,235807.79,CRITICAL,SUPPLIER_SETTLEMENT
Automated payment gateway collection retry incentive,Collections Agent,40420.94,HIGH,DEBT_COLLECTION
Settlement waiver allocation for 90-day overdue merchant balance,Collections Agent,69495.28,LOW,DEBT_COLLECTION
Influencer campaign budget deposit for festive season launch,Growth Agent,92527.68,CRITICAL,GROWTH_INVESTMENT
Sponsorship fee for national fintech developer conference,Growth Agent,200012.92,MEDIUM,GROWTH_INVESTMENT
Sponsorship fee for national fintech developer conference,Growth Agent,108028.25,LOW,GROWTH_INVESTMENT
Affiliate partner commission prepayment for festival sprint,Growth Agent,415933.15,LOW,GROWTH_INVESTMENT
Follow-up collection workflow trigger with dynamic discount #1298,Collections Agent,39446.78,MEDIUM,DEBT_COLLECTION
Partial refund due to discount coupon error at checkout,Refund Agent,29608.78,MEDIUM,CUSTOMER_REFUND
Subscription cancellation charge reversal requested by user,Refund Agent,126819.83,LOW,CUSTOMER_REFUND
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,1326949.88,MEDIUM,LIQUIDITY_REBALANCE
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,327146.1,MEDIUM,LIQUIDITY_REBALANCE
Early settlement discount incentive to collect overdue receivable,Collections Agent,39608.44,MEDIUM,DEBT_COLLECTION
Receivable discount fee for accelerated factoring liquidation,Collections Agent,27230.28,MEDIUM,DEBT_COLLECTION
Customer referral bonus pool allocation,Growth Agent,215528.43,CRITICAL,GROWTH_INVESTMENT
Receivable discount fee for accelerated factoring liquidation,Collections Agent,52776.14,CRITICAL,DEBT_COLLECTION
Goodwill refund for delayed order delivery breach SLA,Refund Agent,131077.29,LOW,CUSTOMER_REFUND
Follow-up collection workflow trigger with dynamic discount #2680,Collections Agent,72583.09,LOW,DEBT_COLLECTION
Influencer campaign budget deposit for festive season launch,Growth Agent,172756.08,MEDIUM,GROWTH_INVESTMENT
Collection agency recovery contingency disbursement,Collections Agent,82586.81,HIGH,DEBT_COLLECTION
Quarterly supplier retention bonus and milestone settlement,Payout Agent,347340.47,HIGH,SUPPLIER_SETTLEMENT
Chargeback resolution and customer refund reconciliation,Refund Agent,56861.99,LOW,CUSTOMER_REFUND
Influencer campaign budget deposit for festive season launch,Growth Agent,406121.29,MEDIUM,GROWTH_INVESTMENT
Vendor payout for contract software engineering services,Payout Agent,572053.99,MEDIUM,SUPPLIER_SETTLEMENT
Escrow account setup for disputed receivable recovery,Collections Agent,91056.46,LOW,DEBT_COLLECTION
Search engine marketing budget expansion for high-intent keywords,Growth Agent,296961.91,CRITICAL,GROWTH_INVESTMENT
Vendor payout for contract software engineering services,Payout Agent,275863.4,LOW,SUPPLIER_SETTLEMENT
Chargeback resolution and customer refund reconciliation,Refund Agent,10358.27,CRITICAL,CUSTOMER_REFUND
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,905066.44,MEDIUM,LIQUIDITY_REBALANCE
Affiliate partner commission prepayment for festival sprint,Growth Agent,326664.31,MEDIUM,GROWTH_INVESTMENT
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,1030119.82,LOW,LIQUIDITY_REBALANCE
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,1434765.15,LOW,LIQUIDITY_REBALANCE
Escrow account setup for disputed receivable recovery,Collections Agent,65388.73,HIGH,DEBT_COLLECTION
Performance marketing ad spend allocation on Google Ads,Growth Agent,404834.01,HIGH,GROWTH_INVESTMENT
Subscription cancellation charge reversal requested by user,Refund Agent,20878.03,HIGH,CUSTOMER_REFUND
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,1262537.12,CRITICAL,LIQUIDITY_REBALANCE
Automated payment gateway collection retry incentive,Collections Agent,10994.55,CRITICAL,DEBT_COLLECTION
Vendor payout for contract software engineering services,Payout Agent,82854.71,MEDIUM,SUPPLIER_SETTLEMENT
Urgent payment to critical supplier to release pending shipment,Payout Agent,436537.69,CRITICAL,SUPPLIER_SETTLEMENT
Performance marketing ad spend allocation on Google Ads,Growth Agent,178749.9,LOW,GROWTH_INVESTMENT
Sponsorship fee for national fintech developer conference,Growth Agent,409704.09,CRITICAL,GROWTH_INVESTMENT
Escrow account setup for disputed receivable recovery,Collections Agent,37208.48,MEDIUM,DEBT_COLLECTION
Escrow account setup for disputed receivable recovery,Collections Agent,92809.49,HIGH,DEBT_COLLECTION
Quarterly supplier retention bonus and milestone settlement,Payout Agent,372955.36,MEDIUM,SUPPLIER_SETTLEMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,243637.07,HIGH,LIQUIDITY_REBALANCE
Sponsorship fee for national fintech developer conference,Growth Agent,321179.73,CRITICAL,GROWTH_INVESTMENT
Merchant store credit conversion to original payment refund,Refund Agent,67622.32,HIGH,CUSTOMER_REFUND
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,995257.03,LOW,LIQUIDITY_REBALANCE
Quarterly supplier retention bonus and milestone settlement,Payout Agent,434814.51,MEDIUM,SUPPLIER_SETTLEMENT
Disbursement for logistics partner freight clearing,Payout Agent,76099.22,LOW,SUPPLIER_SETTLEMENT
Partial refund due to discount coupon error at checkout,Refund Agent,58045.31,LOW,CUSTOMER_REFUND
Inter-account treasury transfer from primary current to payroll reserve,Treasury Agent,1428352.94,HIGH,LIQUIDITY_REBALANCE
Collection agency recovery contingency disbursement,Collections Agent,55298.69,CRITICAL,DEBT_COLLECTION
Sponsorship fee for national fintech developer conference,Growth Agent,482234.02,LOW,GROWTH_INVESTMENT
Merchant store credit conversion to original payment refund,Refund Agent,58661.12,LOW,CUSTOMER_REFUND
Sponsorship fee for national fintech developer conference,Growth Agent,146556.69,HIGH,GROWTH_INVESTMENT
Legal notice issuance fee for delinquent enterprise account #3009,Collections Agent,17894.2,LOW,DEBT_COLLECTION
Automated payment gateway collection retry incentive,Collections Agent,99739.93,HIGH,DEBT_COLLECTION
Influencer campaign budget deposit for festive season launch,Growth Agent,180663.03,HIGH,GROWTH_INVESTMENT
Double charge correction and dispute refund for transaction #6922,Refund Agent,76804.61,LOW,CUSTOMER_REFUND
Double charge correction and dispute refund for transaction #4878,Refund Agent,118765.59,LOW,CUSTOMER_REFUND
Brand awareness campaign media buying for Q4,Growth Agent,411647.78,MEDIUM,GROWTH_INVESTMENT
Replenishment of working capital escrow reserve buffer,Treasury Agent,533007.0,CRITICAL,LIQUIDITY_REBALANCE
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,1252675.16,LOW,LIQUIDITY_REBALANCE
Partial refund due to discount coupon error at checkout,Refund Agent,68046.2,HIGH,CUSTOMER_REFUND
Double charge correction and dispute refund for transaction #3114,Refund Agent,65460.12,LOW,CUSTOMER_REFUND
Disbursement for logistics partner freight clearing,Payout Agent,173492.81,HIGH,SUPPLIER_SETTLEMENT
Partial refund due to discount coupon error at checkout,Refund Agent,134343.96,LOW,CUSTOMER_REFUND
Search engine marketing budget expansion for high-intent keywords,Growth Agent,106326.63,HIGH,GROWTH_INVESTMENT
Replenishment of working capital escrow reserve buffer,Treasury Agent,997382.4,MEDIUM,LIQUIDITY_REBALANCE
Partial refund due to discount coupon error at checkout,Refund Agent,123960.2,LOW,CUSTOMER_REFUND
Payment for Q3 vendor invoices regarding cloud infrastructure,Payout Agent,538347.48,CRITICAL,SUPPLIER_SETTLEMENT
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,1344595.63,HIGH,LIQUIDITY_REBALANCE
Customer referral bonus pool allocation,Growth Agent,412109.67,CRITICAL,GROWTH_INVESTMENT
Customer referral bonus pool allocation,Growth Agent,359876.11,MEDIUM,GROWTH_INVESTMENT
Settlement waiver allocation for 90-day overdue merchant balance,Collections Agent,49122.0,HIGH,DEBT_COLLECTION
Inter-account treasury transfer from primary current to payroll reserve,Treasury Agent,1306079.11,HIGH,LIQUIDITY_REBALANCE
Affiliate partner commission prepayment for festival sprint,Growth Agent,392299.25,LOW,GROWTH_INVESTMENT
Search engine marketing budget expansion for high-intent keywords,Growth Agent,105134.86,CRITICAL,GROWTH_INVESTMENT
Double charge correction and dispute refund for transaction #2586,Refund Agent,8540.19,CRITICAL,CUSTOMER_REFUND
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,1447760.19,MEDIUM,LIQUIDITY_REBALANCE
Brand awareness campaign media buying for Q4,Growth Agent,393404.62,CRITICAL,GROWTH_INVESTMENT
Emergency reserve replenishment following high outflow cycle,Treasury Agent,1330705.93,CRITICAL,LIQUIDITY_REBALANCE
Settlement of raw material invoice #7442 to primary vendor,Payout Agent,429083.35,MEDIUM,SUPPLIER_SETTLEMENT
Partial refund due to discount coupon error at checkout,Refund Agent,8530.52,CRITICAL,CUSTOMER_REFUND
Emergency reserve replenishment following high outflow cycle,Treasury Agent,851367.05,LOW,LIQUIDITY_REBALANCE
Automated payment gateway collection retry incentive,Collections Agent,74113.27,CRITICAL,DEBT_COLLECTION
Performance marketing ad spend allocation on Google Ads,Growth Agent,73020.96,MEDIUM,GROWTH_INVESTMENT
Sponsorship fee for national fintech developer conference,Growth Agent,223856.97,CRITICAL,GROWTH_INVESTMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,280128.75,LOW,LIQUIDITY_REBALANCE
Follow-up collection workflow trigger with dynamic discount #6555,Collections Agent,57994.02,HIGH,DEBT_COLLECTION
Goodwill refund for delayed order delivery breach SLA,Refund Agent,60806.68,LOW,CUSTOMER_REFUND
Payment for Q3 vendor invoices regarding cloud infrastructure,Payout Agent,585193.88,CRITICAL,SUPPLIER_SETTLEMENT
Emergency reserve replenishment following high outflow cycle,Treasury Agent,948764.73,MEDIUM,LIQUIDITY_REBALANCE
Brand awareness campaign media buying for Q4,Growth Agent,226829.56,HIGH,GROWTH_INVESTMENT
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,1259605.14,CRITICAL,LIQUIDITY_REBALANCE
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,1242048.37,HIGH,LIQUIDITY_REBALANCE
Influencer campaign budget deposit for festive season launch,Growth Agent,312665.96,LOW,GROWTH_INVESTMENT
Emergency reserve replenishment following high outflow cycle,Treasury Agent,1453898.97,MEDIUM,LIQUIDITY_REBALANCE
Payment of hardware maintenance contract for warehouse 3793,Payout Agent,443174.25,CRITICAL,SUPPLIER_SETTLEMENT
Goodwill refund for delayed order delivery breach SLA,Refund Agent,86312.97,LOW,CUSTOMER_REFUND
Customer refund for damaged shipment order #8225,Refund Agent,47740.18,MEDIUM,CUSTOMER_REFUND
Legal notice issuance fee for delinquent enterprise account #7723,Collections Agent,52672.85,CRITICAL,DEBT_COLLECTION
Disbursement for logistics partner freight clearing,Payout Agent,205506.28,HIGH,SUPPLIER_SETTLEMENT
Settlement waiver allocation for 90-day overdue merchant balance,Collections Agent,95885.12,CRITICAL,DEBT_COLLECTION
Treasury rebalancing to maintain regulatory statutory reserve buffer,Treasury Agent,596001.78,HIGH,LIQUIDITY_REBALANCE
Emergency reserve replenishment following high outflow cycle,Treasury Agent,1440272.35,HIGH,LIQUIDITY_REBALANCE
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,1418079.76,HIGH,LIQUIDITY_REBALANCE
Search engine marketing budget expansion for high-intent keywords,Growth Agent,192668.34,HIGH,GROWTH_INVESTMENT
Hedging collateral deposit for forex currency fluctuations,Treasury Agent,270623.75,CRITICAL,LIQUIDITY_REBALANCE
Follow-up collection workflow trigger with dynamic discount #3399,Collections Agent,32593.0,HIGH,DEBT_COLLECTION
Urgent payment to critical supplier to release pending shipment,Payout Agent,541979.04,CRITICAL,SUPPLIER_SETTLEMENT
Goodwill refund for delayed order delivery breach SLA,Refund Agent,41398.78,HIGH,CUSTOMER_REFUND
Subscription cancellation charge reversal requested by user,Refund Agent,37126.25,MEDIUM,CUSTOMER_REFUND
Customer refund for damaged shipment order #2641,Refund Agent,62581.9,CRITICAL,CUSTOMER_REFUND
Disbursement for logistics partner freight clearing,Payout Agent,773389.08,MEDIUM,SUPPLIER_SETTLEMENT
Escrow account setup for disputed receivable recovery,Collections Agent,66801.18,HIGH,DEBT_COLLECTION
Sponsorship fee for national fintech developer conference,Growth Agent,458571.63,LOW,GROWTH_INVESTMENT
Short-term liquid mutual fund redemption to bolster working cash,Treasury Agent,1134161.13,LOW,LIQUIDITY_REBALANCE
Chargeback resolution and customer refund reconciliation,Refund Agent,140154.47,LOW,CUSTOMER_REFUND
Escrow account setup for disputed receivable recovery,Collections Agent,93977.83,HIGH,DEBT_COLLECTION
Payment for Q3 vendor invoices regarding cloud infrastructure,Payout Agent,475971.4,LOW,SUPPLIER_SETTLEMENT
Sponsorship fee for national fintech developer conference,Growth Agent,495094.76,CRITICAL,GROWTH_INVESTMENT
Merchant store credit conversion to original payment refund,Refund Agent,29728.9,LOW,CUSTOMER_REFUND
Paid acquisition ad spend top-up on Meta and LinkedIn,Growth Agent,341728.4,MEDIUM,GROWTH_INVESTMENT
Urgent payment to critical supplier to release pending shipment,Payout Agent,475835.92,MEDIUM,SUPPLIER_SETTLEMENT
Chargeback resolution and customer refund reconciliation,Refund Agent,77776.82,LOW,CUSTOMER_REFUND
Collection agency recovery contingency disbursement,Collections Agent,98260.09,CRITICAL,DEBT_COLLECTION
Search engine marketing budget expansion for high-intent keywords,Growth Agent,167353.37,MEDIUM,GROWTH_INVESTMENT
Receivable discount fee for accelerated factoring liquidation,Collections Agent,33684.85,LOW,DEBT_COLLECTION
Brand awareness campaign media buying for Q4,Growth Agent,77955.95,LOW,GROWTH_INVESTMENT
Receivable discount fee for accelerated factoring liquidation,Collections Agent,43514.58,HIGH,DEBT_COLLECTION
Vendor payout for contract software engineering services,Payout Agent,510969.09,MEDIUM,SUPPLIER_SETTLEMENT
Merchant store credit conversion to original payment refund,Refund Agent,68791.82,HIGH,CUSTOMER_REFUND
Escrow account setup for disputed receivable recovery,Collections Agent,81189.52,MEDIUM,DEBT_COLLECTION
Subscription cancellation charge reversal requested by user,Refund Agent,67565.45,HIGH,CUSTOMER_REFUND
Settlement of raw material invoice #2011 to primary vendor,Payout Agent,671580.54,MEDIUM,SUPPLIER_SETTLEMENT
Inter-account treasury transfer from primary current to payroll reserve,Treasury Agent,559364.69,CRITICAL,LIQUIDITY_REBALANCE
Routine bi-weekly supplier invoice settlement for inventory batch #9008,Payout Agent,118206.23,CRITICAL,SUPPLIER_SETTLEMENT
Payment of hardware maintenance contract for warehouse 3161,Payout Agent,434935.88,CRITICAL,SUPPLIER_SETTLEMENT
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,1041874.8,HIGH,LIQUIDITY_REBALANCE
Quarterly supplier retention bonus and milestone settlement,Payout Agent,662339.92,MEDIUM,SUPPLIER_SETTLEMENT
Replenishment of working capital escrow reserve buffer,Treasury Agent,693176.34,LOW,LIQUIDITY_REBALANCE
Yield optimization sweep of idle float to overnight liquid funds,Treasury Agent,1480592.15,CRITICAL,LIQUIDITY_REBALANCE
Vendor payout for contract software engineering services,Payout Agent,184986.0,MEDIUM,SUPPLIER_SETTLEMENT
Follow-up collection workflow trigger with dynamic discount #7266,Collections Agent,47611.03,CRITICAL,DEBT_COLLECTION
Collection agency recovery contingency disbursement,Collections Agent,17634.03,HIGH,DEBT_COLLECTION
Disbursement for logistics partner freight clearing,Payout Agent,344793.97,MEDIUM,SUPPLIER_SETTLEMENT
Customer refund for damaged shipment order #1372,Refund Agent,146795.11,CRITICAL,CUSTOMER_REFUND
Liquidity pool re-allocation across multi-banking nodal accounts,Treasury Agent,630987.06,MEDIUM,LIQUIDITY_REBALANCE
Merchant store credit conversion to original payment refund,Refund Agent,24113.08,MEDIUM,CUSTOMER_REFUND
